observation_date,INDCPIALLQINMEI
1957-01-01,1.4713879999999999
1957-04-01,1.5175200000000000
1957-07-01,1.5539410000000000
1957-10-01,1.5587970000000000
1958-01-01,1.5163059999999999
1958-04-01,1.5587970000000000
1958-07-01,1.6498480000000000
1958-10-01,1.6680580000000005
1959-01-01,1.6146410000000000
1959-04-01,1.6364939999999999
1959-07-01,1.7093349999999998
1959-10-01,1.7239030000000000
1960-01-01,1.6741279999999998
1960-04-01,1.6911240000000001
1960-07-01,1.7287589999999999
1960-10-01,1.7093349999999998
1961-01-01,1.6947669999999999
1961-04-01,1.7093349999999998
1961-07-01,1.7554670000000001
1961-10-01,1.7591090000000000
1962-01-01,1.7481830000000005
1962-04-01,1.7736780000000001
1962-07-01,1.8234520000000001
1962-10-01,1.8246659999999999
1963-01-01,1.7833900000000005
1963-04-01,1.8198099999999999
1963-07-01,1.8707990000000001
1963-10-01,1.9072190000000000
1964-01-01,1.9484960000000000
1964-04-01,2.0213369999999999
1964-07-01,2.1500230000000000
1964-10-01,2.2471440000000000
1965-01-01,2.2277200000000001
1965-04-01,2.2192210000000001
1965-07-01,2.3381949999999998
1965-10-01,2.3746150000000004
1966-01-01,2.3879700000000001
1966-04-01,2.4802350000000000
1966-07-01,2.6077070000000000
1966-10-01,2.6732640000000001
1967-01-01,2.7278940000000000
1967-04-01,2.8383700000000003
1967-07-01,2.9427750000000001
1967-10-01,2.9658410000000002
1968-01-01,2.9791960000000000
1968-04-01,2.9342769999999998
1968-07-01,2.9779819999999999
1968-10-01,2.9549150000000002
1969-01-01,2.8541520000000000
1969-04-01,2.9269930000000000
1969-07-01,3.0119740000000004
1969-10-01,2.9840520000000001
1970-01-01,2.9901219999999999
1970-04-01,3.0787450000000001
1970-07-01,3.1455160000000002
1970-10-01,3.1625120000000000
1971-01-01,3.0957409999999999
1971-04-01,3.1127370000000001
1971-07-01,3.2523490000000002
1971-10-01,3.2972679999999999
1972-01-01,3.2572049999999999
1972-04-01,3.3191199999999998
1972-07-01,3.4769420000000002
1972-10-01,3.5267169999999997
1973-01-01,3.5837760000000003
1973-04-01,3.8241510000000001
1973-07-01,4.1385809999999994
1973-10-01,4.3340370000000004
1974-01-01,4.5185680000000001
1974-04-01,4.9228350000000001
1974-07-01,5.4181540000000004
1974-10-01,5.5626220000000002
1975-01-01,5.4509330000000000
1975-04-01,5.4837109999999996
1975-07-01,5.4072279999999999
1975-10-01,5.2542609999999996
1976-01-01,4.9021970000000001
1976-04-01,4.8791310000000001
1976-07-01,5.0308830000000002
1976-10-01,5.1352880000000001
1977-01-01,5.2093429999999996
1977-04-01,5.3331730000000004
1977-07-01,5.5116329999999998
1977-10-01,5.5504819999999997
1978-01-01,5.4169400000000003
1978-04-01,5.4497179999999998
1978-07-01,5.5905440000000004
1978-10-01,5.6925220000000003
1979-01-01,5.5699059999999996
1979-04-01,5.7265139999999999
1979-07-01,6.0348739999999994
1979-10-01,6.2084779999999995
1980-01-01,6.2412570000000001
1980-04-01,6.4100050000000000
1980-07-01,6.6904429999999993
1980-10-01,6.8689029999999995
1981-01-01,7.0036589999999999
1981-04-01,7.2840970000000000
1981-07-01,7.6094530000000002
1981-10-01,7.7502789999999981
1982-01-01,7.7053600000000015
1982-04-01,7.8000539999999985
1982-07-01,8.1594020000000000
1982-10-01,8.3220809999999990
1983-01-01,8.3949210000000001
1983-04-01,8.7603410000000004
1983-07-01,9.2192380000000007
1983-10-01,9.4086250000000007
1984-01-01,9.4316910000000007
1984-04-01,9.5045319999999993
1984-07-01,9.8699510000000004
1984-10-01,9.9537180000000003
1985-01-01,9.8638809999999992
1985-04-01,10.0933299999999999
1985-07-01,10.3859100000000009
1985-10-01,10.5704399999999996
1986-01-01,10.6542100000000008
1986-04-01,10.9455700000000000
1986-07-01,11.3061299999999996
1986-10-01,11.5792900000000003
1987-01-01,11.5525800000000007
1987-04-01,11.8269500000000001
1987-07-01,12.3647500000000008
1987-10-01,12.6561199999999996
1988-01-01,12.6451899999999995
1988-04-01,12.9863300000000006
1988-07-01,13.4634400000000003
1988-10-01,13.8470700000000004
1989-01-01,13.7088699999999992
1989-04-01,13.9852600000000002
1989-07-01,14.4274799999999992
1989-10-01,14.5656800000000004
1990-01-01,14.5380400000000005
1990-04-01,15.1184499999999993
1990-07-01,15.7541499999999992
1990-10-01,16.3622000000000014
1991-01-01,16.7215100000000021
1991-04-01,16.9979000000000013
1991-07-01,18.0205299999999973
1991-10-01,18.6009500000000010
1992-01-01,18.9602600000000017
1992-04-01,19.3748399999999990
1992-07-01,20.0934500000000007
1992-10-01,20.2040000000000006
1993-01-01,20.0381700000000009
1993-04-01,20.4803899999999999
1993-07-01,21.2266399999999997
1993-10-01,21.8623399999999997
1994-01-01,21.9728899999999996
1994-04-01,22.6085899999999995
1994-07-01,23.5759399999999992
1994-10-01,24.0181700000000014
1995-01-01,24.1287200000000013
1995-04-01,24.9026099999999992
1995-07-01,26.1187199999999997
1995-10-01,26.4503899999999987
1996-01-01,26.2569100000000013
1996-04-01,27.2242800000000003
1996-07-01,28.3574700000000028
1996-10-01,28.8826099999999961
1997-01-01,29.0484400000000029
1997-04-01,29.3248299999999986
1997-07-01,29.7946900000000028
1997-10-01,30.4856599999999993
1998-01-01,31.6741300000000017
1998-04-01,32.3650999999999982
1998-07-01,34.3827400000000054
1998-10-01,35.9305200000000013
1999-01-01,34.5209400000000031
1999-04-01,34.6591299999999976
1999-07-01,35.3500999999999976
1999-10-01,36.0963500000000010
2000-01-01,35.7923200000000037
2000-04-01,36.4832899999999967
2000-07-01,36.8149599999999992
2000-10-01,37.1742599999999968
2001-01-01,36.8425999999999974
2001-04-01,37.4782900000000012
2001-07-01,38.5285700000000020
2001-10-01,38.9431500000000028
2002-01-01,38.7220399999999998
2002-04-01,39.1642599999999987
2002-07-01,40.0763400000000019
2002-10-01,40.3527300000000011
2003-01-01,40.1869000000000014
2003-04-01,41.0160600000000031
2003-07-01,41.4306500000000000
2003-10-01,41.7070399999999992
2004-01-01,41.7899499999999975
2004-04-01,42.1216200000000001
2004-07-01,43.1718900000000048
2004-10-01,43.4482799999999969
2005-01-01,43.5588399999999965
2005-04-01,43.8075900000000047
2005-07-01,44.7749499999999969
2005-10-01,45.6317599999999999
2006-01-01,45.5212000000000003
2006-04-01,46.4137699999999995
2006-07-01,47.5613600000000005
2006-10-01,48.5814499999999967
2007-01-01,48.7089599999999976
2007-04-01,49.3465099999999950
2007-07-01,50.7491199999999978
2007-10-01,51.2591599999999943
2008-01-01,51.7692100000000011
2008-04-01,53.1718199999999968
2008-07-01,55.3395000000000010
2008-10-01,56.4870900000000020
2009-01-01,56.6146000000000029
2009-04-01,57.8896999999999977
2009-07-01,61.8425299999999964
2009-10-01,64.0101999999999975
2010-01-01,65.2853000000000065
2010-04-01,65.7953499999999991
2010-07-01,68.2180400000000020
2010-10-01,69.8756800000000027
2011-01-01,71.1507800000000117
2011-04-01,71.6608200000000011
2011-07-01,74.4660499999999956
2011-10-01,75.7411599999999936
2012-01-01,76.2511999999999972
2012-04-01,78.9289100000000019
2012-07-01,81.7341399999999965
2012-10-01,83.3917800000000113
